2015 FL290,2082-2085,2,8.00E-06,10.85,22,0.13,-3.83,-3.92,0
2015 DA54,2107-2107,1,4.70E-08,23.13,20.8,0.23,-5.27,-5.27,0
2015 FQ332,2082-2101,7,1.30E-05,7.06,25.3,0.03,-5.32,-5.7,0
2015 FN36,2100-2113,3,9.50E-07,22.04,23.9,0.057,-5.47,-5.6,0
2015 EO,2050-2077,8,6.70E-06,14.24,26.6,0.016,-5.91,-6.14,0
2015 DD54,2114-2114,1,2.10E-06,6.7,25.4,0.028,-6.35,-6.35,0
2015 ET,2076-2114,9,3.70E-06,11.65,26.7,0.016,-6.42,-6.98,0
2015 FF36,2073-2112,3,1.80E-06,8.71,26.5,0.017,-6.71,-6.86,0
2015 CL13,2090-2106,3,6.60E-08,13.69,25.7,0.025,-7.65,-7.89,0
2015 EG,2115-2115,1,1.10E-07,9.56,25.8,0.024,-7.69,-7.69,0
2015 EG7,2093-2110,3,3.70E-08,12.8,27.4,0.011,-8.74,-8.79,0
2015 FL290,2082-2085,2,8.00E-06,10.85,22,0.13,-3.83,-3.92,0
2015 DA54,2107-2107,1,4.70E-08,23.13,20.8,0.23,-5.27,-5.27,0
2015 FQ332,2082-2101,7,1.30E-05,7.06,25.3,0.03,-5.32,-5.7,0
2015 FN36,2100-2113,3,9.50E-07,22.04,23.9,0.057,-5.47,-5.6,0
2015 EO,2050-2077,8,6.70E-06,14.24,26.6,0.016,-5.91,-6.14,0
2015 DD54,2114-2114,1,2.10E-06,6.7,25.4,0.028,-6.35,-6.35,0
2015 ET,2076-2114,9,3.70E-06,11.65,26.7,0.016,-6.42,-6.98,0
2015 FF36,2073-2112,3,1.80E-06,8.71,26.5,0.017,-6.71,-6.86,0
2015 CL13,2090-2106,3,6.60E-08,13.69,25.7,0.025,-7.65,-7.89,0
2015 EG,2115-2115,1,1.10E-07,9.56,25.8,0.024,-7.69,-7.69,0
2015 EG7,2093-2110,3,3.70E-08,12.8,27.4,0.011,-8.74,-8.79,0
